TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-02-04 16:39:59,1770223199099,ssdf.site/onboarding/seller,GET,_rsc=1r34m&nxtProle=seller,200,s6wwx-1770223199099-69405c6af659,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,14,iad1,257,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCRX32XFM5SSWHTK9GKR8,wcpy58UwBi86,1
2026-02-04 16:39:59,1770223199099,ssdf.site/onboarding/seller,GET,_rsc=1r34m&nxtProle=seller,200,s6wwx-1770223199099-69405c6af659,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,10,iad1,250,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCRVYKDT1KVZWEQ43J4QB,sHcFsoG3wtpE,1
2026-02-04 16:39:58,1770223198622,ssdf.site/onboarding/buyer,GET,_rsc=p37cr&nxtProle=buyer,200,8pb5d-1770223198622-60be75c9ed8c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,76,iad1,256,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCRE3D4C3T2M7DQE6EXK2,wcpy58UwBi86,1
2026-02-04 16:39:58,1770223198622,ssdf.site/onboarding/buyer,GET,_rsc=p37cr&nxtProle=buyer,200,8pb5d-1770223198622-60be75c9ed8c,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,10,iad1,250,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCRD3C4F5Q6X88V3DZ722,sHcFsoG3wtpE,1
2026-02-04 16:39:58,1770223198336,ssdf.site/onboarding/buyer,GET,_rsc=1r34m,200,ft2zp-1770223198336-338c3f94b685,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,function,/onboarding/[role].rsc,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,117,iad1,251,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCR6RMZX34MKP1YBN8K2M,wcpy58UwBi86,1
2026-02-04 16:39:58,1770223198336,ssdf.site/onboarding/buyer,GET,_rsc=1r34m,200,ft2zp-1770223198336-338c3f94b685,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,MISS,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,11,iad1,249,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCR51WGVFJQFWD6ENQP86,sHcFsoG3wtpE,1
2026-02-04 16:39:58,1770223198205,ssdf.site/api/products,GET,search=&category=all,307,9xjhz-1770223198205-d54096f78cc9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,12,iad1,248,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCR0A35XSW1RK6DH2ZS13,sHcFsoG3wtpE,1
2026-02-04 16:39:58,1770223198205,ssdf.site/api/products,GET,search=&category=all,307,9xjhz-1770223198205-d54096f78cc9,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,,redirect,/api/products,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,48,iad1,,,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-04 16:39:57,1770223197961,ssdf.site/,HEAD,,200,p8mtf-1770223197961-f47e4df0279a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,15,iad1,244,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCQSC3YBV3Z46XGMRZXTY,sHcFsoG3wtpE,1
2026-02-04 16:39:57,1770223197961,ssdf.site/,HEAD,,200,p8mtf-1770223197961-f47e4df0279a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,HIT,static,/,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,72,iad1,,,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
2026-02-04 16:39:54,1770223194933,ssdf.site/,GET,,200,z9pzs-1770223194933-4401d3f1e832,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,PRERENDER,middleware,/_middleware,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,50,iad1,243,2048,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,01KGMRCMTTY0PZBCH7ZDH613MG,sHcFsoG3wtpE,1
2026-02-04 16:39:54,1770223194933,ssdf.site/,GET,,200,z9pzs-1770223194933-4401d3f1e832,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Mobile Safari/537.36",,production,main,PRERENDER,static,/,ssdf.site,ssdf-crypto-marketplace-ml5fnzwax-creodamos-projects.vercel.app,dpl_CuQhdBKY32Ek5tHg4aaU77brn2i8,161,iad1,,,,prj_T3YDi9yBs6XMhtjnskyKVnHdSfBx,,,,,
